iso_3_code,countryname,who_region,year,vaccinecode,vaccine_description,schedulerounds,targetpop,targetpop_description,geoarea,ageadministered
ABW,Aruba,AMRO,2023,HEPB_ADULT,Adult Hepatitis B vaccine,1.0,HW,Health workers,NATIONAL,1st contact
ABW,Aruba,AMRO,2023,HEPB_ADULT,Adult Hepatitis B vaccine,3.0,HW,Health workers,NATIONAL,+M5
ABW,Aruba,AMRO,2023,HEPB_ADULT,Adult Hepatitis B vaccine,2.0,HW,Health workers,NATIONAL,+M1
ABW,Aruba,AMRO,2023,HEPB_ADULT,Adult Hepatitis B vaccine,3.0,RISKGROUPS,Risk group(s),NATIONAL,+M5
ABW,Aruba,AMRO,2023,HEPB_ADULT,Adult Hepatitis B vaccine,2.0,RISKGROUPS,Risk group(s),NATIONAL,+M1
ABW,Aruba,AMRO,2023,HEPB_ADULT,Adult Hepatitis B vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,1st contact
ABW,Aruba,AMRO,2023,HEPB_PEDIATRIC,Pediatric Hepatitis B vaccine,1.0,,General/routine,NATIONAL,M1
ABW,Aruba,AMRO,2023,HEPB_PEDIATRIC,Pediatric Hepatitis B vaccine,2.0,,General/routine,NATIONAL,M3
ABW,Aruba,AMRO,2023,HEPB_PEDIATRIC,Pediatric Hepatitis B vaccine,3.0,,General/routine,NATIONAL,M9
ABW,Aruba,AMRO,2023,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,1.0,FEMALE,HPV for females only,NATIONAL,Y11
ABW,Aruba,AMRO,2023,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,2.0,FEMALE,HPV for females only,NATIONAL,+M6
ABW,Aruba,AMRO,2023,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,ADULTS,Adults,NATIONAL,
ABW,Aruba,AMRO,2023,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,HW,Health workers,NATIONAL,1st contact
ABW,Aruba,AMRO,2023,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,PW,Pregnant women,NATIONAL,1st contact
ABW,Aruba,AMRO,2023,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,1st contact
ABW,Aruba,AMRO,2023,INFLUENZA_PEDIATRIC,Pediatric seasonal influenza vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,
ABW,Aruba,AMRO,2023,MEN_ACYW_135CONJ,Meningococcal ACYW conjugate vaccine,1.0,TRAVELLERS,Travellers,NATIONAL,1st contact
ABW,Aruba,AMRO,2023,MMR,"MMR (Measles, mumps and rubella) vaccine",1.0,,General/routine,NATIONAL,M12
ABW,Aruba,AMRO,2023,MMR,"MMR (Measles, mumps and rubella) vaccine",2.0,,General/routine,NATIONAL,Y4
ABW,Aruba,AMRO,2023,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,1.0,,General/routine,NATIONAL,M2
ABW,Aruba,AMRO,2023,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,2.0,,General/routine,NATIONAL,M4
ABW,Aruba,AMRO,2023,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,3.0,,General/routine,NATIONAL,M12
ABW,Aruba,AMRO,2023,VARICELLA,Varicella vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,>=Y1
ABW,Aruba,AMRO,2023,YF,YF (Yellow fever) vaccine,1.0,TRAVELLERS,Travellers,NATIONAL,1st contact
AFG,Afghanistan,EMRO,2023,BCG,BCG (Baccille Calmette Guérin) vaccine,1.0,,General/routine,NATIONAL,B
AFG,Afghanistan,EMRO,2023,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,1.0,,General/routine,NATIONAL,W6
AFG,Afghanistan,EMRO,2023,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,2.0,,General/routine,NATIONAL,W10
AFG,Afghanistan,EMRO,2023,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,3.0,,General/routine,NATIONAL,W14
AFG,Afghanistan,EMRO,2023,HEPB_PEDIATRIC,Pediatric Hepatitis B vaccine,1.0,,General/routine,NATIONAL,B
AFG,Afghanistan,EMRO,2023,IPV,IPV (Inactivated polio vaccine),1.0,,General/routine,NATIONAL,W14
AFG,Afghanistan,EMRO,2023,IPV,IPV (Inactivated polio vaccine),2.0,,General/routine,NATIONAL,M9
AFG,Afghanistan,EMRO,2023,MEASLES,Measles vaccine,1.0,,General/routine,NATIONAL,M9
AFG,Afghanistan,EMRO,2023,MEASLES,Measles vaccine,2.0,,General/routine,NATIONAL,M18
AFG,Afghanistan,EMRO,2023,OPV,OPV (Oral polio vaccine),1.0,,General/routine,NATIONAL,B
AFG,Afghanistan,EMRO,2023,OPV,OPV (Oral polio vaccine),2.0,,General/routine,NATIONAL,W6
AFG,Afghanistan,EMRO,2023,OPV,OPV (Oral polio vaccine),3.0,,General/routine,NATIONAL,W10
AFG,Afghanistan,EMRO,2023,OPV,OPV (Oral polio vaccine),4.0,,General/routine,NATIONAL,W14
AFG,Afghanistan,EMRO,2023,OPV,OPV (Oral polio vaccine),5.0,,General/routine,NATIONAL,M9
AFG,Afghanistan,EMRO,2023,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,1.0,,General/routine,NATIONAL,W6
AFG,Afghanistan,EMRO,2023,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,2.0,,General/routine,NATIONAL,W10
AFG,Afghanistan,EMRO,2023,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,3.0,,General/routine,NATIONAL,W14
AFG,Afghanistan,EMRO,2023,ROTAVIRUS_1,RV-1 (Rotavirus 1-valent) vaccine,1.0,,General/routine,NATIONAL,W6
AFG,Afghanistan,EMRO,2023,ROTAVIRUS_1,RV-1 (Rotavirus 1-valent) vaccine,2.0,,General/routine,NATIONAL,W10
AFG,Afghanistan,EMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1.0,ADULTS,Adults,NATIONAL,1st contact
AFG,Afghanistan,EMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2.0,ADULTS,Adults,NATIONAL,+M1
AFG,Afghanistan,EMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,3.0,ADULTS,Adults,NATIONAL,+M6
AFG,Afghanistan,EMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,4.0,ADULTS,Adults,NATIONAL,+Y1
AFG,Afghanistan,EMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,5.0,ADULTS,Adults,NATIONAL,+Y1
AGO,Angola,AFRO,2023,BCG,BCG (Baccille Calmette Guérin) vaccine,1.0,,General/routine,NATIONAL,B
AGO,Angola,AFRO,2023,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,1.0,,General/routine,NATIONAL,M2
AGO,Angola,AFRO,2023,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,2.0,,General/routine,NATIONAL,M4
AGO,Angola,AFRO,2023,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,3.0,,General/routine,NATIONAL,M6
AGO,Angola,AFRO,2023,HEPB_PEDIATRIC,Pediatric Hepatitis B vaccine,1.0,,General/routine,NATIONAL,B
AGO,Angola,AFRO,2023,IPV,IPV (Inactivated polio vaccine),1.0,,General/routine,NATIONAL,M4
AGO,Angola,AFRO,2023,IPV,IPV (Inactivated polio vaccine),2.0,,General/routine,NATIONAL,M9
AGO,Angola,AFRO,2023,MR,MR (Measles and rubella) vaccine,1.0,,General/routine,NATIONAL,M9
AGO,Angola,AFRO,2023,MR,MR (Measles and rubella) vaccine,2.0,,General/routine,NATIONAL,M15
AGO,Angola,AFRO,2023,OPV,OPV (Oral polio vaccine),1.0,,General/routine,NATIONAL,B
AGO,Angola,AFRO,2023,OPV,OPV (Oral polio vaccine),2.0,,General/routine,NATIONAL,M2
AGO,Angola,AFRO,2023,OPV,OPV (Oral polio vaccine),3.0,,General/routine,NATIONAL,M4
AGO,Angola,AFRO,2023,OPV,OPV (Oral polio vaccine),4.0,,General/routine,NATIONAL,M6
AGO,Angola,AFRO,2023,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,1.0,,General/routine,NATIONAL,M2
AGO,Angola,AFRO,2023,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,2.0,,General/routine,NATIONAL,M4
AGO,Angola,AFRO,2023,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,3.0,,General/routine,NATIONAL,M6
AGO,Angola,AFRO,2023,ROTAVIRUS_1,RV-1 (Rotavirus 1-valent) vaccine,1.0,,General/routine,NATIONAL,M2
AGO,Angola,AFRO,2023,ROTAVIRUS_1,RV-1 (Rotavirus 1-valent) vaccine,2.0,,General/routine,NATIONAL,M4
AGO,Angola,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1.0,PW,Pregnant women,NATIONAL,1st contact
AGO,Angola,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2.0,PW,Pregnant women,NATIONAL,+M1
AGO,Angola,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,3.0,PW,Pregnant women,NATIONAL,+M6
AGO,Angola,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,4.0,PW,Pregnant women,NATIONAL,+Y1
AGO,Angola,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,5.0,PW,Pregnant women,NATIONAL,+Y1
AGO,Angola,AFRO,2023,TT,TT (Tetanus toxoid) vaccine,1.0,ADULTS,Adults,NATIONAL,Y15-Y49
AGO,Angola,AFRO,2023,VITAMINA,Vitamin A supplements,1.0,,General/routine,NATIONAL,M6
AGO,Angola,AFRO,2023,VITAMINA,Vitamin A supplements,2.0,,General/routine,NATIONAL,M9
AGO,Angola,AFRO,2023,YF,YF (Yellow fever) vaccine,1.0,,General/routine,NATIONAL,M9
AIA,Anguilla,AMRO,2023,BCG,BCG (Baccille Calmette Guérin) vaccine,1.0,,General/routine,NATIONAL,B
AIA,Anguilla,AMRO,2023,DTWP,DTwP (Whole cell) vaccine,4.0,B_2YL_W,General/routine,NATIONAL,M18
AIA,Anguilla,AMRO,2023,DTWP,DTwP (Whole cell) vaccine,5.0,B_CHILD_W,General/routine,NATIONAL,Y4-Y5
AIA,Anguilla,AMRO,2023,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,1.0,,General/routine,NATIONAL,M2
AIA,Anguilla,AMRO,2023,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,2.0,,General/routine,NATIONAL,M4
AIA,Anguilla,AMRO,2023,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,3.0,,General/routine,NATIONAL,M6
AIA,Anguilla,AMRO,2023,HEPB_ADULT,Adult Hepatitis B vaccine,1.0,ADULTS,Adults,NATIONAL,1st contact
AIA,Anguilla,AMRO,2023,HEPB_ADULT,Adult Hepatitis B vaccine,2.0,ADULTS,Adults,NATIONAL,+M1
AIA,Anguilla,AMRO,2023,HEPB_ADULT,Adult Hepatitis B vaccine,3.0,ADULTS,Adults,NATIONAL,+M6
AIA,Anguilla,AMRO,2023,HEPB_ADULT,Adult Hepatitis B vaccine,3.0,HW,Health workers,NATIONAL,+M6
AIA,Anguilla,AMRO,2023,HEPB_ADULT,Adult Hepatitis B vaccine,2.0,HW,Health workers,NATIONAL,+M1
AIA,Anguilla,AMRO,2023,HEPB_ADULT,Adult Hepatitis B vaccine,1.0,HW,Health workers,NATIONAL,1st contact
AIA,Anguilla,AMRO,2023,HEPB_PEDIATRIC,Pediatric Hepatitis B vaccine,1.0,,General/routine,NATIONAL,B
AIA,Anguilla,AMRO,2023,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,1.0,CATCHUP_A,Catch-up adults,NATIONAL,<Y25
AIA,Anguilla,AMRO,2023,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,1.0,CATCHUP_C,Catch-up children,NATIONAL,<Y25
AIA,Anguilla,AMRO,2023,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,1.0,BOTH,HPV administered to females and males,NATIONAL,Y9-15
AIA,Anguilla,AMRO,2023,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,,General/routine,NATIONAL,>Y18
AIA,Anguilla,AMRO,2023,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,HW,Health workers,NATIONAL,
AIA,Anguilla,AMRO,2023,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,PW,Pregnant women,NATIONAL,
AIA,Anguilla,AMRO,2023,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,
AIA,Anguilla,AMRO,2023,INFLUENZA_PEDIATRIC,Pediatric seasonal influenza vaccine,1.0,,General/routine,NATIONAL,>=M6
AIA,Anguilla,AMRO,2023,IPV,IPV (Inactivated polio vaccine),1.0,,General/routine,NATIONAL,M2
AIA,Anguilla,AMRO,2023,IPV,IPV (Inactivated polio vaccine),2.0,,General/routine,NATIONAL,M4
AIA,Anguilla,AMRO,2023,MMR,"MMR (Measles, mumps and rubella) vaccine",1.0,,General/routine,NATIONAL,Y1
AIA,Anguilla,AMRO,2023,MMR,"MMR (Measles, mumps and rubella) vaccine",2.0,,General/routine,NATIONAL,Y2
AIA,Anguilla,AMRO,2023,OPV,OPV (Oral polio vaccine),3.0,,General/routine,NATIONAL,M6
AIA,Anguilla,AMRO,2023,OPV,OPV (Oral polio vaccine),4.0,,General/routine,NATIONAL,M18
AIA,Anguilla,AMRO,2023,OPV,OPV (Oral polio vaccine),5.0,,General/routine,NATIONAL,Y4-Y5
AIA,Anguilla,AMRO,2023,OPV,OPV (Oral polio vaccine),6.0,,General/routine,NATIONAL,Y15
AIA,Anguilla,AMRO,2023,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,1.0,,General/routine,NATIONAL,M2
AIA,Anguilla,AMRO,2023,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,2.0,,General/routine,NATIONAL,M4
AIA,Anguilla,AMRO,2023,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,3.0,,General/routine,NATIONAL,M6
AIA,Anguilla,AMRO,2023,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,4.0,,General/routine,NATIONAL,M18
AIA,Anguilla,AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,6.0,B_ADO_W,General/routine,NATIONAL,Y15
AIA,Anguilla,AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1.0,PW,Pregnant women,NATIONAL,1st contact
AIA,Anguilla,AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2.0,PW,Pregnant women,NATIONAL,+W4
AIA,Anguilla,AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,3.0,PW,Pregnant women,NATIONAL,+M6-Y1
AIA,Anguilla,AMRO,2023,TDAP_S,"Tdap (Tetanus, diphtheria for older children and adults and acellular pertussis) vaccine",1.0,RISKGROUPS,Risk group(s),NATIONAL,>Y4
AIA,Anguilla,AMRO,2023,TDAP_S,"Tdap (Tetanus, diphtheria for older children and adults and acellular pertussis) vaccine",1.0,TRAVELLERS,Travellers,NATIONAL,
AIA,Anguilla,AMRO,2023,VARICELLA,Varicella vaccine,1.0,,General/routine,NATIONAL,M15
AIA,Anguilla,AMRO,2023,VARICELLA,Varicella vaccine,2.0,,General/routine,NATIONAL,Y4-Y5
AIA,Anguilla,AMRO,2023,YF,YF (Yellow fever) vaccine,1.0,TRAVELLERS,Travellers,NATIONAL,1st contact
ALB,Albania,EURO,2023,BCG,BCG (Baccille Calmette Guérin) vaccine,1.0,,General/routine,NATIONAL,B
ALB,Albania,EURO,2023,DT,"DT (Tetanus toxoid and diphtheria, children's dose) vaccine",5.0,B_CHILD_W,General/routine,NATIONAL,Y6
ALB,Albania,EURO,2023,DTWP,DTwP (Whole cell) vaccine,4.0,B_2YL_F,General/routine,NATIONAL,Y2
ALB,Albania,EURO,2023,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,1.0,,General/routine,NATIONAL,M2
ALB,Albania,EURO,2023,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,2.0,,General/routine,NATIONAL,M4
ALB,Albania,EURO,2023,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,3.0,,General/routine,NATIONAL,M6
ALB,Albania,EURO,2023,HEPB_PEDIATRIC,Pediatric Hepatitis B vaccine,1.0,,General/routine,NATIONAL,B
ALB,Albania,EURO,2023,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,1.0,FEMALE,HPV for females only,NATIONAL,Y13
ALB,Albania,EURO,2023,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,ADULTS,Adults,NATIONAL,>Y18
ALB,Albania,EURO,2023,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,HW,Health workers,NATIONAL,
ALB,Albania,EURO,2023,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,PW,Pregnant women,NATIONAL,
ALB,Albania,EURO,2023,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,
ALB,Albania,EURO,2023,INFLUENZA_PEDIATRIC,Pediatric seasonal influenza vaccine,2.0,,General/routine,NATIONAL,>Y9
ALB,Albania,EURO,2023,INFLUENZA_PEDIATRIC,Pediatric seasonal influenza vaccine,1.0,,General/routine,NATIONAL,M6-Y9
ALB,Albania,EURO,2023,INFLUENZA_PEDIATRIC,Pediatric seasonal influenza vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,
ALB,Albania,EURO,2023,IPV,IPV (Inactivated polio vaccine),1.0,,General/routine,NATIONAL,M2
ALB,Albania,EURO,2023,IPV,IPV (Inactivated polio vaccine),2.0,,General/routine,NATIONAL,M4
ALB,Albania,EURO,2023,MMR,"MMR (Measles, mumps and rubella) vaccine",1.0,,General/routine,NATIONAL,Y1
ALB,Albania,EURO,2023,MMR,"MMR (Measles, mumps and rubella) vaccine",2.0,,General/routine,NATIONAL,Y5
ALB,Albania,EURO,2023,OPV,OPV (Oral polio vaccine),3.0,,General/routine,NATIONAL,M6
ALB,Albania,EURO,2023,OPV,OPV (Oral polio vaccine),4.0,,General/routine,NATIONAL,Y2
ALB,Albania,EURO,2023,OPV,OPV (Oral polio vaccine),5.0,,General/routine,NATIONAL,Y6
ALB,Albania,EURO,2023,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,1.0,,General/routine,NATIONAL,M2
ALB,Albania,EURO,2023,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,2.0,,General/routine,NATIONAL,M4
ALB,Albania,EURO,2023,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,3.0,,General/routine,NATIONAL,M12
ALB,Albania,EURO,2023,ROTAVIRUS_5,RV-5 (Rotavirus 5-valent) vaccine,1.0,,General/routine,NATIONAL,M2
ALB,Albania,EURO,2023,ROTAVIRUS_5,RV-5 (Rotavirus 5-valent) vaccine,2.0,,General/routine,NATIONAL,M4
ALB,Albania,EURO,2023,ROTAVIRUS_5,RV-5 (Rotavirus 5-valent) vaccine,3.0,,General/routine,NATIONAL,M6
ALB,Albania,EURO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1.0,ADULTS,Adults,NATIONAL,Y18
ALB,Albania,EURO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,6.0,B_ADO_W,General/routine,NATIONAL,Y13
AND,Andorra,EURO,2023,DTAPHIBHEPBIPV,DTaP-Hib-HepB-IPV (acellular) vaccine,1.0,,General/routine,NATIONAL,M2
AND,Andorra,EURO,2023,DTAPHIBHEPBIPV,DTaP-Hib-HepB-IPV (acellular) vaccine,2.0,,General/routine,NATIONAL,M4
AND,Andorra,EURO,2023,DTAPHIBHEPBIPV,DTaP-Hib-HepB-IPV (acellular) vaccine,3.0,,General/routine,NATIONAL,M12
AND,Andorra,EURO,2023,HPV2,HPV-2 (Human Papilloma Virus 2-valent) vaccine,1.0,FEMALE,HPV for females only,NATIONAL,Y12
AND,Andorra,EURO,2023,HPV2,HPV-2 (Human Papilloma Virus 2-valent) vaccine,2.0,FEMALE,HPV for females only,NATIONAL,+M6
AND,Andorra,EURO,2023,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,ADULTS,Adults,NATIONAL,>=Y65
AND,Andorra,EURO,2023,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,HW,Health workers,NATIONAL,
AND,Andorra,EURO,2023,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,PW,Pregnant women,NATIONAL,
AND,Andorra,EURO,2023,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,
AND,Andorra,EURO,2023,INFLUENZA_PEDIATRIC,Pediatric seasonal influenza vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,
AND,Andorra,EURO,2023,MEN_ACYW_135CONJ,Meningococcal ACYW conjugate vaccine,1.0,,General/routine,NATIONAL,M15
AND,Andorra,EURO,2023,MEN_ACYW_135CONJ,Meningococcal ACYW conjugate vaccine,2.0,,General/routine,NATIONAL,Y12
AND,Andorra,EURO,2023,MEN_B,Meningococcal B vaccine,1.0,,General/routine,NATIONAL,M2
AND,Andorra,EURO,2023,MEN_B,Meningococcal B vaccine,2.0,,General/routine,NATIONAL,M4
AND,Andorra,EURO,2023,MEN_B,Meningococcal B vaccine,3.0,,General/routine,NATIONAL,M13
AND,Andorra,EURO,2023,MEN_C_CONJ,Meningococcal C conjugate vaccine,1.0,,General/routine,NATIONAL,M4
AND,Andorra,EURO,2023,MMR,"MMR (Measles, mumps and rubella) vaccine",1.0,,General/routine,NATIONAL,M12
AND,Andorra,EURO,2023,MMR,"MMR (Measles, mumps and rubella) vaccine",2.0,,General/routine,NATIONAL,Y3
AND,Andorra,EURO,2023,MPOX,Mpox (monkeypox) vaccine,1.0,HW,Health workers,NATIONAL,1st contact
AND,Andorra,EURO,2023,MPOX,Mpox (monkeypox) vaccine,1.0,PW,Pregnant women,NATIONAL,1st contact
AND,Andorra,EURO,2023,MPOX,Mpox (monkeypox) vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,1st contact
AND,Andorra,EURO,2023,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,1.0,,General/routine,NATIONAL,M3
AND,Andorra,EURO,2023,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,2.0,,General/routine,NATIONAL,M5
AND,Andorra,EURO,2023,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,3.0,,General/routine,NATIONAL,M13
AND,Andorra,EURO,2023,ROTAVIRUS_1,RV-1 (Rotavirus 1-valent) vaccine,1.0,,General/routine,NATIONAL,M2
AND,Andorra,EURO,2023,ROTAVIRUS_1,RV-1 (Rotavirus 1-valent) vaccine,2.0,,General/routine,NATIONAL,M3
AND,Andorra,EURO,2023,TDAP_S,"Tdap (Tetanus, diphtheria for older children and adults and acellular pertussis) vaccine",1.0,PW,Pregnant women,NATIONAL,
AND,Andorra,EURO,2023,TDAP_S_IPV,"Tdap-IPV (Tetanus, diphtheria for older children and adults, acellular pertussis and IPV) vaccine",4.0,B_CHILD_W,General/routine,NATIONAL,Y5
AND,Andorra,EURO,2023,TDAP_S_IPV,"Tdap-IPV (Tetanus, diphtheria for older children and adults, acellular pertussis and IPV) vaccine",5.0,B_ADO_W,General/routine,NATIONAL,Y15
AND,Andorra,EURO,2023,VARICELLA,Varicella vaccine,1.0,,General/routine,NATIONAL,M15
AND,Andorra,EURO,2023,VARICELLA,Varicella vaccine,2.0,,General/routine,NATIONAL,Y3
ARE,United Arab Emirates,EMRO,2023,BCG,BCG (Baccille Calmette Guérin) vaccine,1.0,,General/routine,NATIONAL,B
ARE,United Arab Emirates,EMRO,2023,CHOLERA,Cholera vaccine,1.0,TRAVELLERS,Travellers,NATIONAL,
ARE,United Arab Emirates,EMRO,2023,DTAPHIBHEPBIPV,DTaP-Hib-HepB-IPV (acellular) vaccine,1.0,,General/routine,NATIONAL,M2
ARE,United Arab Emirates,EMRO,2023,DTAPHIBHEPBIPV,DTaP-Hib-HepB-IPV (acellular) vaccine,2.0,,General/routine,NATIONAL,M4
ARE,United Arab Emirates,EMRO,2023,DTAPHIBIPV,DTaP-Hib-IPV (acellular) vaccine,4.0,B_2YL_W,General/routine,NATIONAL,M18
ARE,United Arab Emirates,EMRO,2023,DTAPIPV,DTaP-IPV (acellular) vaccine,5.0,B_CHILD_W,General/routine,NATIONAL,Y5-Y6
ARE,United Arab Emirates,EMRO,2023,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,3.0,,General/routine,NATIONAL,M6
ARE,United Arab Emirates,EMRO,2023,HEPA_ADULT,Adult Hepatitis A vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,
ARE,United Arab Emirates,EMRO,2023,HEPA_ADULT,Adult Hepatitis A vaccine,1.0,TRAVELLERS,Travellers,NATIONAL,
